Column1,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,fromCurrency,toCurrency,lastMarket,coinMarketCapLink,algorithm,tradeable,country,sector,industry,asOfDate,periodType,ForwardPeRatio,MarketCap2,PbRatio,PeRatio,PsRatio,forwardPE,EnterpriseValue,EnterprisesValueEBITDARatio,EnterprisesValueRevenueRatio,fiveYearAvgDividendYield,PegRatio,openInterest,yield,ytdReturn,totalAssets,expireDate,strikePrice,navPrice,volume24Hr,volumeAllCurrencies,circulatingSupply,maxSupply,startDate,0,O&G,Renewable
NO0010310956,1,2,336.4,331.2,318,331.8,336.4,331.2,318,331.8,20,0.059299998,09/06/2022 01:00,0.5879,0.584082,9.423868,454632,454632,189965,647885,647885,319.6,320.2,17800,50000,37733978112,318,785.5,2.1614785,610.666,656.791,20,0.059453033,NOK,,,,,,FALSE,Norway,Consumer Defensive,Farm Products,06/10/2022,TTM,9.3371,42488847318,2.863673,9.911817,2.265022,9.4211,49382847318,7.690513,2.814488,,,,,,,,,,,,,,,,0,0
MYL3182OO002,1,4,4.875,4.3001,4.3001,5.24,4.875,4.3001,4.3001,5.24,0.2,0.0419,09/09/2022 01:00,,1.009674,,4300,4300,7490,8440,8440,0,0,0,0,3749155584,4.1,6.75,0.20554528,5.048,5.49225,0.18,0.036923077,USD,,,,,,FALSE,Malaysia,Consumer Cyclical,Resorts & Casinos,06/10/2022,TTM,12.4533,3742523162,0.549002,12.061164,0.957608,,7855079661,1.49851,0.43065,,,,,,,,,,,,,,,,0,0
JE00B8KF9B49,1,2,778.4,775.8,767.4,780,778.4,775.8,767.4,780,0.34,0.0437,13/10/2022 01:00,0.5714,1.178005,14.010908,1058209,1058209,3775830,3748675,3748675,770.4,770.8,0,0,8361009664,8.174,1231.5,0.62284505,784.38,942.8664,0.337,0.000432939,GBp,,,,,,FALSE,United Kingdom,Communication Services,Advertising Agencies,01/10/2022,TTM,7.2254,8137527315,2.146029,13.736264,0.653517,0.075630575,13402727315,7.43357,0.998423,4.66,0.8026,,,,,,,,,,,,,,0,0
CNE1000003W8,1,3,3.38,3.39,3.36,3.43,3.38,3.39,3.36,3.43,0.47,0.1385,09/09/2022 01:00,0.3435,0.764842,4.630137,45470488,45470488,95872841,120480055,120480055,3.37,3.38,0,0,9.86E+11,3.17,4.49,0.3251841,3.4996,3.7871,0.299,0.08846153,HKD,,,,,,FALSE,China,Energy,Oil & Gas Integrated,06/10/2022,TTM,5.4318,9.86E+11,0.420761,4.648869,0.185186,4.694444,1.22E+12,2.838449,0.402304,4.32,0.1702,,,,,,,,,,,,,,1,0
JP3538800008,1,2,4855,4795,4740,4805,4855,4795,4740,4805,106,0.0238,30/03/2023 01:00,0.21450001,1.128014,13.361128,1729600,1729600,2276650,2628110,2628110,4765,4775,0,0,1.81E+12,3600,5300,0.90829647,4817.6,4427.525,78.33,0.016133882,JPY,,,,,,FALSE,Japan,Technology,Electronic Components,05/10/2022,TTM,13.1062,1.79E+12,1.236323,13.221221,0.898748,10.780241,2.04E+12,5.376805,1.023225,1.53,1.1129,,,,,,,,,,,,,,0,0
BRPETRACNOR9,1,2,36.55,0,0,0,36.55,0,0,0,10.45,0.2858,12/08/2022 01:00,0.955,1.334365,3.051906,0,0,20027367,27542920,27542920,37.45,37.63,0,0,4.68E+11,0,40.51,0.8230025,35.974,34.50505,12.844,0.35140902,BRL,,,,,,FALSE,Brazil,Energy,Oil & Gas Integrated,07/10/2022,TTM,4.0161,4.54E+11,1.174577,2.965386,0.843212,3.576996,6.33E+11,10.264271,5.794976,,0.7986,,,,,,,,,,,,,,1,0
CA6837151068,1,2,27.85,27.64,27.13,27.74,27.85,27.64,27.13,27.74,0.97,0.0357,01/09/2022 01:00,0.6052,1.017686,18.623287,878604,878604,798835,1028600,1028600,0,0,800,1000,7314219008,26.4,52.7,2.093459,33.2944,39.80195,0.884,0.03174147,USD,,,,,,FALSE,Canada,Technology,Software—Application,06/10/2022,TTM,8.5324,7466337175,1.838511,19.075342,2.167431,5.8852816,10247238175,8.746863,2.932941,1.7,,,,,,,,,,,,,,,0,0
GB00B02J6398,1,2,1973.5,1961,1923.5,1964.5,1973.5,1961,1923.5,1964.5,0.86,0.0438,01/09/2022 01:00,0.9985,0.215661,14.884616,106275,106275,1209477,1353883,1353883,1935.5,1937,0,0,5919861760,1691.5,3301,3.9980156,2119.95,2448.025,0.864,0.000437801,GBp,,,,,,FALSE,United Kingdom,Financial Services,Insurance—Property & Casualty,01/10/2022,TTM,15.4083,5747915736,5.056669,14.693016,3.898297,0.1402174,6211915736,,4.218046,4.14,,,,,,,,,,,,,,,0,0
BRCSANACNOR6,1,2,17.9,0,0,0,17.9,0,0,0,0.8,0.0448,06/05/2022 01:00,0.2908,1.173761,6.6086955,0,0,6518989,8644030,8644030,18.11,18.31,0,0,34102779904,0,25.22,1.0962275,19.3142,20.418,0.428,0.023910616,BRL,,,,,,FALSE,Brazil,Energy,Oil & Gas Refining & Marketing,06/10/2022,TTM,22.3714,33467068083,2.134804,6.484098,1.046576,12.579309,64221352083,4.793101,2.00272,2.41,,,,,,,,,,,,,,,1,0
LR0008862868,1,2,43.47,43.18,42.61,45.38,43.47,43.18,42.61,45.38,,,05/03/2020 00:00,0,2.308032,,8625623,8625623,7796060,10523290,10523290,44.02,0,800,1200,11227697152,31.09,98.27,2.3977087,42.8262,60.6263,0,0,USD,,,,,,FALSE,United States,Consumer Cyclical,Travel Services,07/10/2022,TTM,9.8717,11227705851,3.304115,57.305882,2.395716,12.160221,32971518851,-18.064893,7.041167,,,,,,,,,,,,,,,,0,0
MYL6888OO001,1,4,2.72,2.71,2.65,2.72,2.72,2.71,2.65,2.72,,,,,,9.925095,1135800,1135800,2846679,2006270,2006270,2.65,2.66,0,0,23382118400,2.55,4.16,,2.8844,3.30765,0.2,0.073529415,MYR,,,,,,FALSE,,,,07/10/2022,TTM,15.625,24961518015,1.502106,80,0.938296,,54227910015,5.211654,2.037051,,,,,,,,,,,,,,,,0,0
DE000A0D9PT0,1,2,158.05,157.15,156.95,159.75,158.05,157.15,156.95,159.75,2.1,0.013099999,06/05/2022 01:00,0.474,1.465126,36.072235,21405,21405,138294,151431,151431,159.75,159.95,20700,3400,8513760768,149.2,221.1,1.8297358,174.737,186.12524,2.1,0.013286933,EUR,,,,,,FALSE,Germany,Industrials,Aerospace & Defense,01/10/2022,TTM,16.4745,8218062087,2.968953,34.819413,1.821177,16.474228,8524062087,11.365416,1.83195,,0.8495,,,,,,,,,,,,,,0,0
NZAIAE0002S6,1,2,7.27,7.23,7.185,7.275,7.27,7.23,7.185,7.275,,,19/03/2020 00:00,0,0.796846,55.769234,594231,594231,1211455,1884667,1884667,7.21,6.71,125400,1401400,10740512768,6.88,8.34,36.858315,7.5793,7.481675,0,0,NZD,,,,,,FALSE,New Zealand,Industrials,Airports & Air Services,02/10/2022,TTM,71.9424,11030416994,1.300879,55.342045,37.614529,42.647057,12482316994,37.10558,44.279237,,,,,,,,,,,,,,,,0,0
CNE100001YQ9,1,3,8.77,8.64,8.42,8.65,8.77,8.64,8.42,8.65,0.53,0.0598,05/07/2022 01:00,0.38759997,0.755417,6.348148,788000,788000,1753890,2853650,2853650,8.56,8.57,0,0,1.10E+11,8.25,14.3,2.9022274,10.0652,11.43015,0.45,0.051311284,HKD,,,,,,FALSE,China,Financial Services,Capital Markets,06/10/2022,TTM,4.81,1.13E+11,0.473877,6.863033,2.185218,5.0116954,,,,,,,,,,,,,,,,,,,0,0
US90184L1026,1,2,51.3,50.98,49.29,51.55,51.3,50.98,49.29,51.55,,,,0,0.525423,197.56,67911726,67911726,16641723,29643410,29643410,49,49.04,800,900,37795500032,31.3,68.41,7.2284956,42.3482,40.38225,0,0,USD,,,,,,FALSE,United States,Communication Services,Internet Content & Information,07/10/2022,TTM,53.1915,37795507447,6.370945,149.56,7.424845,82.316666,38391988447,61.350518,7.342576,,,,,,,,,,,,,,,,0,0
NO0010345853,1,2,336.7,337.9,333.8,339.1,336.7,337.9,333.8,339.1,20.82,0.063,31/10/2022 00:00,0.45389998,1.702182,8.7920685,332835,332835,1258416,1351550,1351550,337,337.2,,,2.13E+11,253.6,420.5,27.917385,334.974,327.527,1.684,0.005001485,NOK,,,,,,FALSE,Norway,Energy,Oil & Gas E&P,06/10/2022,TTM,6.8776,2.09E+11,1.624851,8.622929,1.465136,6.0578823,2.49E+11,42.108348,32.636355,5.11,,,,,,,,,,,,,,,1,0
KYG608371046,1,3,14.44,14.44,13.9,14.44,14.44,14.44,13.9,14.44,,,28/06/2021 01:00,0,-0.254638,62.626442,1067298,1067298,6138598,4148167,4148167,14.22,14.24,0,0,25889173504,12.24,44.3,32.401485,16.7444,19.4594,0,0,HKD,,,,,,FALSE,China,Healthcare,Medical Devices,03/10/2022,TTM,,24616553520,2.540021,226.091448,3.905774,-13.433963,23927068039,-57.43305,29.945818,,,,,,,,,,,,,,,,0,0
JP3539220008,1,2,1437,1411,1397,1419,1437,1411,1397,1419,62,0.0436,30/03/2023 01:00,,0.891011,57.635468,2443100,2443100,2170816,2491870,2491870,1402,1405,0,0,7.85E+11,1306,1856,0.43448648,1479.32,1582.695,56,0.038970076,JPY,,,,,,FALSE,Japan,Financial Services,Insurance—Life,05/10/2022,TTM,,7.90E+11,0.671769,66.666667,0.456823,7.2520657,1.01E+11,,0.057102,3.28,,,,,,,,,,,,,,,0,0
ID1000117708,1,2,5325,5300,5250,5400,5325,5300,5250,5400,108,0.0188,03/06/2022 01:00,0.5463,0.324958,25.936403,6906100,6906100,6526520,5469960,5469960,0,5325,0,0,8.69E+13,4800,6550,1.621795,5746.5,5667.925,81,0.015211267,IDR,,,,,,FALSE,Indonesia,Consumer Defensive,Farm Products,,,,,,,,17.906012,,,,,,,,,,,,,,,,,,,0,0
BRBRFSACNOR8,1,2,13.57,0,0,0,13.57,0,0,0,,,13/07/2016 01:00,0,1.413312,,0,0,9871307,11373020,11373020,14,14.04,0,0,15093679104,0,27.09,0.29540548,15.5886,16.51255,0,0,BRL,,,,,,FALSE,Brazil,Consumer Defensive,Packaged Foods,06/10/2022,TTM,9.0253,14630045640,1.200471,29.983871,0.243816,9.333333,32099425640,7.957585,0.628233,,,,,,,,,,,,,,,,0,0
COT13PA00060,1,2,14.06,0,0,0,14.06,0,0,0,0.09,0.0062,02/05/2022 01:00,0.119399995,1.091623,18.556961,0,0,5750840,5923840,5923840,14.55,14.68,,,11504391168,0,17.58,2.769125,12.8682,12.13565,0.091,0.006472262,BRL,,,,,,FALSE,Brazil,Consumer Cyclical,Apparel Retail,06/10/2022,TTM,,11033548064,1.510535,18.5,1.763833,19.038961,12031414064,22.423742,2.89598,,,,,,,,,,,,,,,,0,0
CA73755L1076,1,4,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.185,,,,0,1.028161,,26500,26500,144185,25420,25420,0.18,0.185,0,0,78513264,0.15,0.48,,0.206,0.2856,0,0,CAD,,,,,,FALSE,Canada,Basic Materials,Other Industrial Metals & Mining,05/10/2022,TTM,,76391279,4.932137,,,,80291306,-18.764237,,,,,,,,,,,,,,,,,0,0
