Column1,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,fromCurrency,toCurrency,lastMarket,coinMarketCapLink,algorithm,tradeable,country,sector,industry,asOfDate,periodType,ForwardPeRatio,MarketCap2,PbRatio,PeRatio,PsRatio,forwardPE,EnterpriseValue,EnterprisesValueEBITDARatio,EnterprisesValueRevenueRatio,fiveYearAvgDividendYield,PegRatio,openInterest,yield,ytdReturn,totalAssets,expireDate,strikePrice,navPrice,volume24Hr,volumeAllCurrencies,circulatingSupply,maxSupply,startDate,0,O&G,Renewable
TH0999010R11,1,2,94.5,94.5,93.25,94.5,94.5,94.5,93.25,94.5,7.15,0.0757,29/04/2022 01:00,0.8181,0.546439,10.755149,3792600,3792600,22,12,12,94,94.25,0,0,73468796928,86.25,101.5,4.293413,92.53315,94.027115,7.15,0.075661376,THB,,,,,,FALSE,Thailand,Financial Services,Banks—Regional,05/10/2022,TTM,10.4167,75661943143,1.927832,10.812357,4.109844,,,,,,,,,,,,,,,,,,,,0,0
TH0121010R12,1,2,69.25,69,68.25,69.25,69.25,69,68.25,69.25,,,07/09/2022 01:00,,0.881578,8.424212,2903700,2903700,,,,68.75,69,0,0,2.44E+11,68.25,69.25,11.527389,,,3.95,0.05703971,THB,,,,,,FALSE,Thailand,Financial Services,Banks—Regional,06/10/2022,TTM,,58637514298,,,,,,,,,,,,,,,,,,,,,,,0,0
KYG3R83K1037,1,3,1.03,1.01,0.99,1.03,1.03,1.01,0.99,1.03,,,25/06/2019 01:00,0,0.576994,6.7999997,668000,668000,6179495,1769500,1769500,1.01,1.02,0,0,7412574720,0.86,1.84,1.6081135,1.1418,1.1991,0,0,HKD,,,,,,FALSE,Taiwan,Technology,Electronic Components,06/10/2022,TTM,5.4675,7496949525,0.402491,4.260055,0.197371,6.375,10245527629,37.120535,2.222705,,,,,,,,,,,,,,,,0,0
SE0005127818,1,2,182.85,180.95,171.35,181.75,182.85,180.95,171.35,181.75,2.15,0.0118,12/05/2022 01:00,0.097799994,1.050492,7.9558887,144529,144529,329602,699246,699246,174.85,175.1,0,0,56075845632,166.9,385.6,16.58558,225.153,244.94675,2.15,0.011758272,SEK,,,,,,FALSE,Sweden,Real Estate,Real Estate Services,06/10/2022,TTM,24.2131,58608018073,2.41225,7.958163,16.365407,,86383018073,10.163904,25.3993,0.94,,,,,,,,,,,,,,,0,0
SE0015949748,1,2,148.4,148.7,144.2,148.7,148.4,148.7,144.2,148.7,1.1,0.0074,10/10/2022 01:00,0.32569999,1.759092,47.03583,57079,57079,300451,374979,374979,144.1,144.3,0,0,58278539264,124.8,199.4,2.9957552,143.166,153.439,1.1,0.007412399,SEK,,,,,,FALSE,Sweden,Industrials,Specialty Industrial Machinery,06/10/2022,TTM,,55548471080,9.394296,47.557003,2.875262,34.545456,59991829080,27.316867,3.083825,0.94,,,,,,,,,,,,,,,0,0
KYG970081173,1,3,49.75,49.5,48,49.5,49.75,49.5,48,49.5,,,,0,0.887755,46.346157,13567311,13567311,20748960,17841373,17841373,48.2,48.25,0,0,2.02E+11,40.3,121.5,15.406931,62.996,67.12775,0,0,HKD,,,,,,FALSE,China,Healthcare,Biotechnology,01/10/2022,TTM,25.9067,2.02E+11,5.386979,46.819831,14.67317,28.690477,1.96E+11,39.965374,14.978934,,0.6871,,,,,,,,,,,,,,0,0
DE000BFB0019,1,2,6.17,6.165,6.155,6.24,6.17,6.165,6.155,6.24,,,22/02/2021 00:00,0,0.666666,,70245,70245,175048,244788,244788,6.185,6.205,,,2251263488,6.115,793,0.07792266,7.9279,12.16249,0,0,EUR,,,,,,FALSE,Germany,Consumer Defensive,Food Distribution,06/10/2022,TTM,8.8417,2280310259,0.978648,67.216667,0.082183,17.222221,5529310259,5.540391,0.191385,,,,,,,,,,,,,,,,0,0
KR7271560005,1,2,100500,100000,98300,102000,100500,100000,98300,102000,750,0.0075,29/12/2021 00:00,0.1015,0.134555,,98100,98100,120115,124602,124602,100500,101000,0,0,3.99E+12,80600,128000,1.5766011,101506,97749.5,,,KRW,,,,,,FALSE,South Korea,Consumer Defensive,Confectioners,07/10/2022,TTM,13.6986,3.97E+12,1.604779,13.599459,1.568928,,3.32E+12,5.594389,1.312912,,,,,,,,,,,,,,,,0,0
DE000A2E4K43,1,2,39.42,39,38.16,39,39.42,39,38.16,39,,,,0,0.801948,,93597,93597,795908,755235,755235,38.33,38.36,0,0,9732308992,23.88,131.5,1.3491424,45.0542,46.3113,0,0,EUR,,,,,,FALSE,Germany,Consumer Cyclical,Internet Retail,01/10/2022,TTM,,9628255711,2.145955,,1.354376,-12.5737705,12196555711,-15.519221,1.690749,,,,,,,,,,,,,,,,0,0
TRESLEC00014,1,2,24.18,24.38,24,24.52,24.18,24.38,24,24.52,0.5,0.0207,18/04/2022 01:00,0.2399,0.195046,11.5576935,958241,958241,4157530,3286394,3286394,24.04,24.06,0,0,14928840704,8.11,25,0.44899634,20.5192,14.7454,0.5,0.020678246,TRY,,,,,,FALSE,Turkey,Healthcare,Pharmaceutical Retailers,07/10/2022,TTM,,14879160000,3.031755,11.602687,0.451611,7.5125003,14790751464,8.123987,0.444843,2.21,,,,,,,,,,,,,,,0,0
TRASARKY91G6,1,2,18.15,18.18,18,18.23,18.15,18.18,18,18.23,0.23,0.0124,22/04/2022 01:00,0.1356,0.660216,13.101449,579186,579186,1355426,1605583,1605583,18.07,18.1,0,0,7232000000,9.1275,19.27,0.34033427,16.5062,14.72225,0.225,0.012396694,TRY,,,,,,FALSE,Turkey,Basic Materials,Copper,01/10/2022,TTM,,6859999828,4.763294,12.400067,0.494828,,8817965327,9.277777,0.636061,,,,,,,,,,,,,,,,0,0
TRAKONYA91F6,1,2,1355,1356,1356,1434.7,1355,1356,1356,1434.7,,,22/05/2018 01:00,0,1.606811,329.37787,49510,49510,44191,38438,38438,1424.7,1430,0,0,6966582272,793.3,1460,7.0326138,1284.652,1043.4755,0,0,TRY,,,,,,FALSE,Turkey,Basic Materials,Building Materials,01/10/2022,TTM,,6296971824,15.619125,296.000183,10.176922,,6338674034,100.318218,10.244319,,,,,,,,,,,,,,,,0,0
TRABRSAN91G8,1,2,51.1,51.6,51.55,55.85,51.1,51.6,51.55,55.85,,,31/05/2019 01:00,0,1.424148,22.86307,1645673,1645673,1445544,963644,963644,55.1,55.15,0,0,7810424832,22.1,55.85,0.60147834,46.2978,33.50955,0,0,TRY,,,,,,FALSE,Turkey,Basic Materials,Steel,06/10/2022,TTM,,7200900000,0.833209,22.029393,0.554539,,13483011000,11.01205,1.038322,,,,,,,,,,,,,,,,0,0
TRAALARK91Q0,1,2,63.1,63.2,62.9,64.7,63.1,63.2,62.9,64.7,0.23,0.0041,06/05/2022 01:00,0.0228,0.790827,6.2524753,4577077,4577077,8258316,10139632,10139632,63.1,63.15,0,0,27440381952,8.22,69.55,6.7298465,50.8482,30.90095,0,0,TRY,,,,,,FALSE,Turkey,Industrials,Conglomerates,05/10/2022,TTM,,27353463633,3.971533,6.230206,6.715835,22.553572,26710517509,5.530941,6.550845,,,,,,,,,,,,,,,,0,0
TH6488010005,1,2,60.75,60.75,59.5,60.75,60.75,60.75,59.5,60.75,1.2,0.0198,07/09/2022 01:00,1.049,1.19195,41.958042,6720203,6720203,8003818,8363540,8363540,60,60.25,0,0,1.69E+11,59.5,89.75,1.762972,67.77,70.7225,1.2,0.019753087,THB,,,,,,FALSE,Thailand,Utilities,Utilities—Regulated Electric,07/10/2022,TTM,22.1729,1.71E+11,1.604463,42.482517,1.814155,21.505377,2.69E+11,15.485141,2.830201,1.9,1.9796,,,,,,,,,,,,,,0,0
MYL3867OO008,1,2,28.52,28.44,28.12,28.56,28.52,28.44,28.12,28.56,,,,,,35.21092,70500,70500,257642,149780,149780,28.3,28.38,0,0,5399664128,26.12,51.5,,30.7412,33.4676,0.23,0.008064516,MYR,,,,,,FALSE,,,,06/10/2022,TTM,17.6367,5672525869,2.835961,17.220142,2.343762,,4927316869,6.713313,2.039349,,,,,,,,,,,,,,,,0,0
ID1000085707,1,2,810,810,790,810,810,810,790,810,3.12,0.0039,23/05/2022 01:00,0.24180001,1.292956,67.083336,63699800,63699800,78790634,106335130,106335130,800,0,0,0,7.50E+13,690,1100,23133.475,882.9,866.5,0,0,IDR,,,,,,FALSE,Indonesia,Basic Materials,Chemicals,07/10/2022,TTM,,7.55E+13,2.794516,67.495044,1.540527,27.14093,9.12E+13,170602.9315,28109.94924,,,,,,,,,,,,,,,,0,0
CNE100002FK9,1,3,8.88,8.65,8.43,8.65,8.88,8.65,8.43,8.65,0.8,0.093,14/06/2022 01:00,0.8681,0.687693,5.053892,383000,383000,629349,844511,844511,8.44,8.51,0,0,1.23E+11,8.06,12.56,3.101649,9.142,10.256,0.68,0.076576576,HKD,,,,,,FALSE,China,Financial Services,Capital Markets,06/10/2022,TTM,4.4883,1.26E+11,0.491343,5.637044,1.894931,6.752,,,,,,,,,,,,,,,,,,,0,0
KR7138040001,1,2,21250,20850,20800,21900,21250,20850,20800,21900,210,0.0099,29/12/2021 00:00,0.028199999,0.472308,,158992,158992,147141,221179,221179,21400,21900,0,0,2.67E+12,20050,55900,0.16248265,26463,33602,,,KRW,,,,,,FALSE,South Korea,Financial Services,Asset Management,06/10/2022,TTM,,2.60E+12,0.837112,2.854648,0.604003,,,,,3.79,,,,,,,,,,,,,,,0,0
KR7079550000,1,2,93600,93100,88000,93500,93600,93100,88000,93500,1200,0.013200001,29/12/2021 00:00,0.176,0.817082,,294692,294692,257320,216386,216386,89800,89900,0,0,1.96E+12,45600,114000,1.0073965,95012,77990.5,,,KRW,,,,,,FALSE,South Korea,Industrials,Aerospace & Defense,07/10/2022,TTM,,2.04E+12,2.32575,13.72434,1.046665,,2.37E+12,9.257306,1.21563,1.69,,,,,,,,,,,,,,,0,0
ZAE000025284,1,2,5475,5475,5301,5553,5475,5475,5301,5553,3.03,0.0553,22/06/2022 01:00,0.9196,0.265092,14.138817,12899,12899,81106,55157,55157,5501,5553,0,0,6729910272,4300,6849,0.92894226,5310.2,5409.875,3.03,0.000553425,ZAc,,,,,,FALSE,South Africa,Consumer Defensive,Packaged Foods,02/10/2022,TTM,,6465035190,1.272499,13.680966,0.919561,8.513932,9383568190,9.378448,1.295232,5.06,,,,,,,,,,,,,,,0,0
KR7003670007,1,2,158500,157000,155500,164500,158500,157000,155500,164500,300,0.0019,29/12/2021 00:00,0.1698,0.916926,,689371,689371,692499,838888,838888,161500,162000,,,1.25E+13,96100,188500,4.980393,161210,131324,,,KRW,,,,,,FALSE,South Korea,Basic Materials,Building Materials,01/10/2022,TTM,,1.16E+13,4.743986,84.889643,4.628491,,1.20E+13,47.846356,4.798814,0.53,,,,,,,,,,,,,,,0,0
TW0003532008,1,2,146.5,143.5,142,146,146.5,143.5,142,146,2.22,0.0154,13/07/2022 01:00,0.2698,1.322755,17.942284,1157402,1157402,4184452,3170744,3170744,142.5,143,0,0,55462264832,130,376,3.921346,166.88,226.945,2.22,0.015153584,TWD,,,,,,FALSE,Taiwan,Technology,Semiconductor Equipment & Materials,05/10/2022,TTM,9.5969,55850112000,2.511618,18.067754,3.949165,10.02805,41816304000,7.14052,2.956536,2.99,,,,,,,,,,,,,,,0,0
US02156K1034,1,2,6.31,6.23,5.62,6.27,6.31,6.23,5.62,6.27,,,07/06/2018 01:00,0,1.453942,3.2122905,5365023,5365023,4858754,6888950,6888950,5.59,6,1800,1800,2614266368,5.52,19.25,0.2619261,9.2902,11.21995,0,0,USD,,,,,,FALSE,United States,Communication Services,Telecom Services,07/10/2022,TTM,4.4743,2614268877,28.758783,3.176796,0.261638,4.4573646,28996196877,7.039434,2.90516,,0.9058,,,,,,,,,,,,,,0,0
TH6999010R15,1,2,8.85,8.85,8.7,8.9,8.85,8.85,8.7,8.9,0.08,0.0014,08/03/2022 00:00,0.8,0.494642,87.5,70804200,70804200,4,9,9,8.7,8.75,0,0,20659363840,8.7,58.75,1.7857727,55.199963,53.90577,0.08,0.009039547,THB,,,,,,FALSE,Thailand,Industrials,Railroads,07/10/2022,TTM,212.766,1.35E+11,23.403921,579.401,76.551537,,2.05E+11,67.610934,17.703573,,,,,,,,,,,,,,,,0,0
TH0528010R18,1,2,700,700,650,700,700,700,650,700,1.7,0.0026,28/02/2022 00:00,0.2053,2.190015,62.547527,5277600,5277600,9622,35000,35000,658,660,0,0,8.63E+11,303,700,8.869142,489.78,415.775,1.7,0.002428572,THB,,,,,,FALSE,Thailand,Industrials,Electrical Equipment & Parts,07/10/2022,TTM,65.3595,8.73E+11,17.921812,80.434783,8.542934,,8.66E+11,65.433403,8.903668,,,,,,,,,,,,,,,,0,0
TH0375010R14,1,4,4.92,4.92,4.92,4.98,4.92,4.92,4.92,4.98,0.07,0.014,11/03/2022 00:00,,0.370356,,77983200,77983200,6390975,5106490,5106490,4.96,4.98,0,0,1.64E+11,4.44,5.05,1.1384801,4.811114,4.779448,0.07,0.014227642,THB,,,,,,FALSE,Thailand,Communication Services,Telecom Services,06/10/2022,TTM,,1.67E+11,2.173392,,1.241661,,5.31E+11,8.211905,3.700319,,,,,,,,,,,,,,,,0,0
ID1000113905,1,2,1650,1650,1625,1650,1650,1650,1625,1650,10,0.0062,16/09/2022 01:00,0,0.80147,12.100037,11289500,11289500,32494537,34565520,34565520,1640,1645,0,0,1.00E+14,1475,3070,7.437322,1841.8,2037.475,0,0,IDR,,,,,,FALSE,Indonesia,Communication Services,Broadcasting,06/10/2022,TTM,,9.91E+13,3.025206,11.952924,7.293289,87.45348,9.09E+13,9.839132,6.737931,,,,,,,,,,,,,,,,0,0
ID1000128804,1,2,1210,1200,1200,1210,1210,1200,1200,1210,24.1,0.0199,08/06/2022 01:00,0.349,0.497678,17.376196,16389900,16389900,58998854,56540180,56540180,1200,1205,0,0,5.98E+13,870,1295,5.9879494,1225.9,1088.55,18.1,0.014958678,IDR,,,,,,FALSE,Indonesia,Communication Services,Telecom Services,06/10/2022,TTM,14.5773,6.03E+13,4.671458,17.520373,6.037854,15.774944,1.03E+14,18.087178,10.280453,2.86,,,,,,,,,,,,,,,0,0
KR7251270005,1,2,50900,50400,48500,51400,50900,50400,48500,51400,528,0.0099,29/12/2021 00:00,,0.75858,,167753,167753,185244,178696,178696,50000,50100,0,0,4.11E+12,48500,140500,1.5512928,62378,85988.5,,,KRW,,,,,,FALSE,South Korea,Communication Services,Electronic Gaming & Multimedia,07/10/2022,TTM,23.6407,4.17E+12,0.749035,40.104773,1.57306,,5.71E+12,22.913298,2.152846,,,,,,,,,,,,,,,,0,0
GRS245213004,1,2,5.655,5.635,5.635,5.7,5.655,5.635,5.635,5.7,,,30/05/2007 01:00,0,0.949935,5.1972475,20224,20224,137715,78869,78869,5.665,5.67,20000,6900,1001215040,5.1,7.64,9.774817,5.9214,6.24015,0,0,EUR,,,,,,FALSE,Greece,Real Estate,Real Estate—Development,03/10/2022,TTM,13.8696,969400881,0.826301,5.217593,9.407629,-566.5,1669977881,39.108636,16.205511,,,,,,,,,,,,,,,,0,0
INE646L01027,1,2,1816.3,1820,1750.65,1820,1816.3,1820,1750.65,1820,,,19/08/2019 01:00,0,0.428018,,1470095,1470095,1023139,553339,553339,0,0,0,0,6.91E+11,1511.75,2380,1.9318037,1944.406,1883.5253,0,0,INR,,,,,,FALSE,India,Industrials,Airlines,07/10/2022,TTM,66.6667,7.00E+11,702.379837,29.318253,1.970285,18.682703,9.89E+11,-61.718109,2.785896,,,,,,,,,,,,,,,,0,0
SE0009922164,1,2,222.1,220.4,220.2,226.1,222.1,220.4,220.2,226.1,7,0.0317,25/03/2022 00:00,0.75589997,0.197124,24.384449,374980,374980,1329511,1476640,1476640,225.6,225.8,0,0,1.57E+11,211.9,310,1.1431321,241.474,252.921,7,0.031517334,SEK,,,,,,FALSE,Sweden,Consumer Defensive,Household & Personal Products,06/10/2022,TTM,11.534,1.55E+11,2.330948,23.952484,1.132042,17.080181,2.08E+11,10.211875,1.512623,,1.2137,,,,,,,,,,,,,,0,0
IL0007200111,1,2,770,778,740.6,783.9,770,778,740.6,783.9,,,22/02/2000 00:00,0,0.57082,382.95004,4833043,4833043,2258223,1667343,1667343,768,768.1,500000,252300,7821831168,5.906,859.5,18.180792,793.934,728.2746,0,0,ILA,,,,,,FALSE,Israel,Utilities,Utilities—Renewable,06/10/2022,TTM,,7821848334,3.674764,385,18.092479,,13519650334,43.854816,31.424604,,,,,,,,,,,,,,,,0,1
SA0007879782,1,2,43.45,42.95,42.6,43.3,43.45,42.95,42.6,43.3,1.6,0.0368,24/07/2022 01:00,0.7979,0.983359,15.141845,551275,551275,2261487,685916,685916,42.65,42.7,0,0,51222921216,38.25,57.2,7.9292707,48.61,50.166,1.6,0.036823936,SAR,,,,,,FALSE,Saudi Arabia,Financial Services,Banks—Regional,06/10/2022,TTM,,51222920000,1.357196,15.141844,6.86968,11.062177,,,,3.85,,,,,,,,,,,,,,,0,0
CA89679A2092,1,2,35.45,35.3,34.34,35.49,35.45,35.3,34.34,35.49,,,,0,0.881156,21.962025,45723,45723,92731,50560,50560,34.71,34.81,0,0,1587990016,29.12,49.25,3.6566632,36.0112,36.23355,0,0,CAD,,,,,,FALSE,Canada,Financial Services,Insurance—Specialty,07/10/2022,TTM,16.835,1587988765,4.452139,21.552795,3.370264,16.367926,1337368765,,3.082518,,,,,,,,,,,,,,,,0,0
BRBPACUNT006,1,2,26.65,0,0,0,26.65,0,0,0,0.46,0.0174,05/08/2022 01:00,,1.633513,44.006516,0,0,10206098,13941090,13941090,26.81,26.85,0,0,91045511168,0,28.08,3.9058402,25.414,23.8514,0.178,0.006679175,BRL,,,,,,FALSE,Brazil,Financial Services,Capital Markets,27/06/2018,TTM,,19963884851,,,,11.305439,,,,2.86,,,,,,,,,,,,,,,0,0
US45687V1061,1,2,46.94,46.75,46.73,47.79,46.94,46.75,46.73,47.79,0.08,0.0017,16/08/2022 01:00,0.0462,1.489812,36.161537,1928706,1928706,3058792,2438730,2438730,0,49.5,900,1000,18953537536,39.285,62.64,3.4331765,48.6004,49.14205,0.06,0.001278228,USD,,,,,,FALSE,United States,Industrials,Specialty Industrial Machinery,07/10/2022,TTM,18.0832,18953541442,2.15948,36.161538,3.521897,18.581028,20440341442,18.661866,3.702491,,1.181,,,,,,,,,,,,,,0,0
KR7267250009,1,2,57900,57300,57200,59100,57900,57300,57200,59100,4600,0.080299996,29/06/2022 01:00,0.36560002,1.051092,,104488,104488,131784,131222,131222,58800,58900,0,0,4.18E+12,45500,66500,0.09757374,58924,56171.5,,,KRW,,,,,,FALSE,South Korea,Industrials,Specialty Industrial Machinery,07/10/2022,TTM,,4.09E+12,0.576541,4.602178,0.095593,,1.78E+13,4.854657,0.416788,,,,,,,,,,,,,,,,0,0
SA0007879139,1,2,166,167.8,165.6,168.6,166,167.8,165.6,168.6,8,0.0482,18/07/2022 01:00,0.15020001,0.506578,8.342514,658838,658838,1615969,1044824,1044824,167.8,167,0,0,79307431936,121.2,202.4,4.7764516,159.784,161.813,7,0.042168673,SAR,,,,,,FALSE,Saudi Arabia,Basic Materials,Agricultural Inputs,07/10/2022,TTM,,79307498306,4.464227,8.342514,4.776452,11.553398,69615306306,6.12732,4.192724,2.85,,,,,,,,,,,,,,,0,0
KR7267260008,1,2,34950,34600,32500,35750,34950,34600,32500,35750,,,,0,1.439937,,558305,558305,435990,398646,398646,32850,32900,,,1.19E+12,15750,35750,0.6272674,30977,23875.75,,,KRW,,,,,,FALSE,South Korea,Industrials,Electrical Equipment & Parts,07/10/2022,TTM,,1.26E+12,1.871711,109.340659,0.664478,,1.70E+12,359.80332,0.896719,,,,,,,,,,,,,,,,0,0
KR7096530001,1,2,28200,27800,27200,28100,28200,27800,27200,28100,,,,,-1.312044,,444653,444653,359334,237495,237495,27300,27350,0,0,7.10E+11,27200,38300,0.5478373,38200,38200,,,KRW,,,,,,FALSE,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
MYL7106OO007,1,4,0.78,0.775,0.735,0.785,0.78,0.775,0.735,0.785,,,,,,4.9006624,17801900,17801900,9474492,7697330,7697330,0.74,0.745,0,0,496736128,0.64,2.303226,,0.7533,1.010025,0.07,0.08974359,MYR,,,,,,FALSE,,,,06/10/2022,TTM,13.7174,1851402917,0.382879,1.195619,0.446458,,-911589083,-0.400104,-0.213863,,,,,,,,,,,,,,,,0,0
TRADEVAW91E2,1,2,37.08,37.2,37.1,38.34,37.08,37.2,37.1,38.34,0.15,0.0041,11/04/2022 01:00,0.021,0.429566,5.4415956,1160053,1160053,1929153,2042567,2042567,38.2,38.24,0,0,7640726016,21.96,40.5,2.4087243,34.8308,32.6744,0.15,0.004045308,TRY,,,,,,FALSE,Turkey,Healthcare,Drug Manufacturers—Specialty & Generic,06/10/2022,TTM,,7300704012,2.265346,5.112045,2.301533,,8545700812,4.754689,2.694016,,,,,,,,,,,,,,,,0,0
US1468691027,1,2,21.55,21.54,20.585,22.66,21.55,21.54,20.585,22.66,,,,0,2.713706,,8926603,8926603,10048690,10221360,10221360,21.18,21.07,800,900,3752687872,19.3,309.5,0.25678718,34.7672,81.68955,0,0,USD,,,,,,FALSE,United States,Consumer Cyclical,Internet Retail,06/10/2022,TTM,,2280040146,4.23013,,0.133918,-4.2773275,9808040146,-13.077387,0.67114,,,,,,,,,,,,,,,,0,0
IT0005090300,1,2,8.824,8.818,8.77,8.862,8.824,8.818,8.77,8.862,0.32,0.036,23/05/2022 01:00,1.3003999,0.291743,35.336,91554,91554,742192,759959,759959,8.83,8.836,0,0,8479809024,8.552,10.86,10.344967,9.5631,9.756725,0.323,0.036604714,EUR,,,,,,FALSE,Italy,Real Estate,Real Estate Services,05/10/2022,TTM,26.2467,8875292050,2.05706,37.282258,10.828709,23.247368,13158346050,17.907821,16.052558,,1.5641,,,,,,,,,,,,,,0,0
CA46016U1084,1,2,12.31,11.87,11.87,12.24,12.31,11.87,11.87,12.24,,,,0,3.016565,4.714286,120358,120358,136290,102850,102850,12.17,12.24,0,0,1685126528,6.13,16.07,1.7434338,12.69,11.461175,0,0,CAD,,,,,,FALSE,Canada,Energy,Oil & Gas E&P,06/10/2022,TTM,31.9489,1698928840,1.24218,5.017008,1.366889,3.5289018,1656069960,3.163965,1.590569,,,,,,,,,,,,,,,,1,0
KR7112610001,1,2,67100,66200,65000,67900,67100,66200,65000,67900,600,0.0098,29/12/2021 00:00,1.5075,2.02457,,236024,236024,318317,253752,253752,65600,65700,0,0,2.72E+12,45500,75000,2.060255,63480,57972.75,,,KRW,,,,,,FALSE,South Korea,Industrials,Specialty Industrial Machinery,07/10/2022,TTM,17.452,2.78E+12,3.219839,168.592965,2.142999,,2.91E+12,23.766084,2.205479,0.99,,,,,,,,,,,,,,,0,0
US6792951054,1,2,59.49,57.83,57.05,59.47,59.49,57.83,57.05,59.47,,,,0,1.258658,,3814128,3814128,4015939,3619480,3619480,57.08,61,1100,800,9216222208,52.75,272.27,5.7585373,79.3274,126.8099,0,0,USD,,,,,,FALSE,United States,Technology,Software—Infrastructure,05/10/2022,TTM,5000,9495828689,1.74139,,5.807319,-187.12903,9372746689,-12.863185,5.856338,,261.45,,,,,,,,,,,,,,0,0
TH7462010003,1,2,14.4,14.4,14.1,14.4,14.4,14.4,14.1,14.4,0.8,0.0556,08/09/2022 01:00,0.4336,0.732198,9.533334,1077984,1077984,1287765,1043700,1043700,14.2,14.3,0,0,43582537728,14,18.2,3.5291605,15.222,15.9045,0.75,0.052083336,THB,,,,,,FALSE,Thailand,Utilities,Utilities—Independent Power Producers,07/10/2022,TTM,8.0321,43887336480,0.900385,9.606404,3.553842,9.727891,61327976480,11.795865,4.966124,3.41,0.2761,,,,,,,,,,,,,,0,0
CNE1000027F2,1,3,3.08,3.08,3.03,3.08,3.08,3.08,3.03,3.08,0.29,0.0921,05/07/2022 01:00,0.5862,0.733359,6.5319147,111200,111200,3211502,2531211,2531211,3.05,3.1,0,0,64240971776,3,7.95,3.5022376,3.567,4.7379,0.239,0.0775974,HKD,,,,,,FALSE,China,Financial Services,Capital Markets,06/10/2022,TTM,5.2356,66440149264,0.313393,6.55033,1.340657,7.309524,,,,3.93,,,,,,,,,,,,,,,0,0
CNE100002B89,1,3,6.13,6.08,5.9,6.08,6.13,6.08,5.9,6.08,0.46,0.075500004,30/06/2022 01:00,0.32419997,0.806161,4.440298,1455500,1455500,2268203,2389837,2389837,5.94,5.95,0,0,46152364032,5.78,9.37,1.3689158,7.0472,7.7651,0.395,0.064437196,HKD,,,,,,FALSE,China,Financial Services,Capital Markets,01/10/2022,TTM,,46540170000,0.481082,4.517788,1.281049,6.9999995,-1.07E+11,-5.084629,-3.210924,,,,,,,,,,,,,,,,0,0
CNE1000029M4,1,3,4.28,4.2,4.16,4.33,4.28,4.2,4.16,4.33,0.27,0.061300002,29/06/2022 01:00,0.3458,1.028637,5.7945204,156600,156600,2427711,1023890,1023890,4.22,4.23,0,0,57883742208,4.08,7.45,4.144955,4.9136,5.3649,0.228,0.053271025,HKD,,,,,,FALSE,Hong Kong,Financial Services,Capital Markets,06/10/2022,TTM,,59606300455,0.284003,5.886733,1.385601,5.7945204,,,,2.52,,,,,,,,,,,,,,,0,0
INE603J01030,1,2,3067.65,3070,3035,3098.75,3067.65,3070,3035,3098.75,6,0.002,25/08/2022 01:00,0.0825,0.710526,50.431656,138221,138221,247238,238287,238287,0,0,0,0,4.64E+11,2333.55,3504.85,8.205513,3222.818,2834.6445,0,0,INR,,,,,,FALSE,India,Basic Materials,Agricultural Inputs,07/10/2022,TTM,43.1034,4.65E+11,7.604374,50.637999,8.308332,85.9879,4.46E+11,33.249783,7.960764,0.31,,,,,,,,,,,,,,,0,0
JP3560200002,1,2,13030,12790,12660,12920,13030,12790,12660,12920,193,0.0149,30/03/2023 01:00,0.2787,0.082935,37.622295,48800,48800,70627,66180,66180,12690,12730,0,0,5.19E+11,7810,21490,8.385376,12696.6,11334.45,94,0.007214121,JPY,,,,,,FALSE,Japan,Communication Services,Entertainment,07/10/2022,TTM,,5.33E+11,5.44046,38.630299,8.610037,36.392315,4.72E+11,23.965325,7.633251,1.45,,,,,,,,,,,,,,,0,0
US23355L1061,1,2,27.31,27.22,26.735,27.49,27.31,27.22,26.735,27.49,,,24/03/2020 00:00,0,1.943625,12.449073,2052714,2052714,2786556,4671560,4671560,24.98,28,2200,800,6181392384,22.65,39.65,0.39046127,26.5798,30.50015,0,0,USD,,,,,,FALSE,United States,Technology,Information Technology Services,07/10/2022,TTM,7.7519,6181387958,1.30823,12.391705,0.42375,5.845652,9838387958,3.602486,0.621463,,,,,,,,,,,,,,,,0,0
INE018I01017,1,2,3302.45,3296.4,3250,3316.8,3302.45,3296.4,3250,3316.8,37,0.0114,06/07/2022 01:00,0.3427,0.839783,30.348211,417757,417757,745380,739129,739129,0,0,0,0,5.40E+11,2649.2,5060,4.7593513,3319.08,3561.5872,37,0.011203803,INR,,,,,,FALSE,India,Technology,Information Technology Services,07/10/2022,TTM,,5.45E+11,9.467518,30.583904,4.797095,61.183716,5.08E+11,19.050556,4.469743,1.09,,,,,,,,,,,,,,,0,0
